@relation all_data_pacman-weka.filters.unsupervised.attribute.Remove-R15-22

@attribute pacmanPosX numeric
@attribute pacmanPosY numeric
@attribute Ghost_1_PosX numeric
@attribute Ghost_1_PosY numeric
@attribute Ghost_2_PosX numeric
@attribute Ghost_2_PosY numeric
@attribute Ghost_3_PosX numeric
@attribute Ghost_3_PosY numeric
@attribute Ghost_4_PosX numeric
@attribute Ghost_4_PosY numeric
@attribute legalNorth numeric
@attribute legalSouth numeric
@attribute legalWest numeric
@attribute legalEast numeric
@attribute livingGhost_1 {True,False}
@attribute livingGhost_2 {True,False}
@attribute livingGhost_3 {True,False}
@attribute livingGhost_4 {True,False}
@attribute currentMove {Stop,North,South,West,East}

@data
6,11,4,3,6,9,10,10,14,5,0,1,1,1,True,True,True,True,East
6,10,5,3,3,1,10,9,14,6,1,1,1,0,True,False,True,True,South
6,9,6,3,3,1,9,9,14,6,1,1,1,1,True,False,True,True,South
7,9,7,3,3,1,10,9,14,7,0,1,1,1,True,False,True,True,East
8,9,7,4,3,1,9,9,14,6,0,1,1,1,True,False,True,True,East
9,9,7,3,3,1,5,1,14,7,0,1,1,1,True,False,False,True,East
9,8,7,3,3,1,5,1,14,7,1,1,1,1,True,False,False,True,South
9,7,6,3,3,1,5,1,13,7,1,1,1,1,True,False,False,True,South
9,6,7,3,3,1,5,1,12,7,1,1,1,1,True,False,False,True,South
9,5,6,3,3,1,5,1,13,7,1,1,1,1,True,False,False,True,South
9,4,6,3,3,1,5,1,14,7,1,1,1,1,True,False,False,True,South
8,4,5,3,3,1,5,1,14,7,1,1,1,1,True,False,False,True,West
7,4,5,3,3,1,5,1,14,7,1,1,1,1,True,False,False,True,West
6,4,5,4,3,1,5,1,14,6,1,1,1,1,True,False,False,True,West
5,4,1,1,3,1,5,1,14,7,1,1,1,1,False,False,False,True,West
5,3,1,1,3,1,5,1,14,7,1,0,1,1,False,False,False,True,South
6,3,1,1,3,1,5,1,15,7,1,0,1,1,False,False,False,True,East
7,3,1,1,3,1,5,1,15,7,1,0,1,1,False,False,False,True,East
8,3,1,1,3,1,5,1,16,7,1,0,1,1,False,False,False,True,East
9,3,1,1,3,1,5,1,17,7,1,0,1,1,False,False,False,True,East
10,3,1,1,3,1,5,1,16,7,1,0,1,1,False,False,False,True,East
11,3,1,1,3,1,5,1,15,7,1,0,1,0,False,False,False,True,East
11,4,1,1,3,1,5,1,15,8,1,1,1,0,False,False,False,True,North
11,5,1,1,3,1,5,1,15,8,0,1,1,1,False,False,False,True,North
12,5,1,1,3,1,5,1,14,8,0,0,1,1,False,False,False,True,East
13,5,1,1,3,1,5,1,15,8,0,1,1,1,False,False,False,True,East
14,5,1,1,3,1,5,1,16,8,1,1,1,1,False,False,False,True,East
14,6,1,1,3,1,5,1,17,8,1,1,0,0,False,False,False,True,North
14,7,1,1,3,1,5,1,17,9,1,1,1,1,False,False,False,True,North
14,8,1,1,3,1,5,1,17,8,1,1,1,1,False,False,False,True,North
15,8,1,1,3,1,5,1,18,8,1,1,1,1,False,False,False,True,East
16,8,1,1,3,1,5,1,18,8,1,1,1,1,False,False,False,True,East
17,8,1,1,3,1,5,1,18,9,1,1,1,1,False,False,False,True,East
18,8,1,1,3,1,5,1,18,10,1,1,1,0,False,False,False,True,East
1,11,6,5,6,9,8,11,14,6,0,1,0,1,True,True,True,True,Stop
1,11,5,5,6,9,7,11,14,6,0,1,0,1,True,True,True,True,Stop
1,11,5,4,6,10,8,11,14,5,0,1,0,1,True,True,True,True,Stop
1,11,5,5,6,11,9,11,14,5,0,1,0,1,True,True,True,True,Stop
2,11,6,5,5,11,8,11,14,4,0,0,1,1,True,True,True,True,East
3,11,6,5,6,11,8,11,13,4,0,0,1,1,True,True,True,True,East
